Sourcerecord id 	ISSN	E-ISSN	CSA Source Title (publications from CSA databases only available for entitled users)	CSA databases to which CSA-unique journals belong (see second tab for explanation of abbreviations)	Added since last version	Source Type	Active or Inactive	Coverage	"Open Acces status, i.e., registered in DOAJ (www.doaj.org)"	Title history indication	Related title 1	Related title 2	Related title 3	Related title 4	Publisher's Name 	Country 	Region	Classification Top Level	Classification (Primary) Level 1	Classification 2	Classification 3	Classification 4	Classification 5						
5800207622	0211934X		Analecta Malacitana	CSALLB		Journal	Active	"1997-2005, 1995 "	Not OA						Universidad de Malaga	Spain	Western Europe (incl. Israel)	Social Sciences	Psychology	Arts and Humanities	Social Sciences	Computer Science							
5800215631	12200271		Analele Universitatii Bucuresti. Limba si Literatura Romana	CSALLB		Journal	Inactive	"1994-1996, 1980-1992, 1977-1978, 1972-1973 "	Not OA						Universitatea din Bucuresti	Romania	Eastern Europe (incl. Russia and CIS)	Social Sciences	Psychology	Arts and Humanities	Social Sciences								
5800215061	12200263		Analele Universitatii Bucuresti. Limbi si Literaturi Straine	CSALLB		Journal	Inactive	"1995-1996, 1992 "	Not OA						Universitatea din Bucuresti	Romania	Eastern Europe (incl. Russia and CIS)	Social Sciences	Psychology	Arts and Humanities	Social Sciences								
5700176852	02104121		Anales de la Real Academia de Ciencias Morales y Politicas	"CSAWPS, CSASA"		Journal	Inactive	2001	Not OA						Real Academia de Ciencias Morales y Politicas	Spain	Western Europe (incl. Israel)	Social Sciences	Psychology	Social Sciences									
5600155212	01715860		Analyse & Kritik	"CSAWPS, CSASA"		Journal	Active	2000-2005 	Not OA						Lucius and Lucius Verlagsgesellschaft mbH	Germany	Western Europe (incl. Israel)	Social Sciences	Psychology	Mathematics	Agricultural and Biological Sciences	Social Sciences							
5800207875	11303964 		Anaquel de estudios arabes	CSALLB		Journal	Active	2003-ongoing 	Not OA						Editorial de la Universidad Complutense	Spain	Western Europe (incl. Israel)	Social Sciences	Arts and Humanities										
5600155261	09673393		Anarchist Studies	"CSASSA, CSAWPS, CSASA"		Journal	Active	"2003-2005 2000-2001, 1993-1997 "	Not OA						White Horse Press	United Kingdom	Western Europe (incl. Israel)	Social Sciences	Psychology	Agricultural and Biological Sciences	Environmental Science	Social Sciences							
5600152950	10255788 		Angewandte Sozialforschung	"CSALLB, CSAWPS, CSASA"		Journal	Active	"2006, 2001-2004, 1995-1999, 1993, 1990"	Not OA						Arbeitsgemeinschaft fur Interdisziplinare Angewandte Sozialforschung	Austria	Western Europe (incl. Israel)	Physical Sciences	Environmental Science	Psychology	Social Sciences	Mathematics	Arts and Humanities						
12100157011	05875234 		Angewandte Sozialforschung	"CSALLB, CSAWPS, CSASA"		Journal	Inactive	"2001-2003, 1995-1999, 1993, 1990"	Not OA						Institut fuer Angewandte Soziologie	Austria	Western Europe (incl. Israel)	Social Sciences	Psychology	Mathematics	Environmental Science	Arts and Humanities	Social Sciences						
5800207860	09031723		Angles on the English Speaking World	CSALLB		Journal	Active	"2004 2001, 1999, 1995-1997, 1992-1993 "	Not OA						Museum Tusculanum Press	Denmark	Western Europe (incl. Israel)	Social Sciences	Psychology	Arts and Humanities									
5800209442	12364754		Anglicana Turkuensia	CSALLB		Journal	Inactive	"1998-2001, 1994-1996 "	Not OA						University of Turku	Finland	Western Europe (incl. Israel)	Social Sciences	Psychology	Arts and Humanities	Social Sciences	Health Professions	Computer Science						
5700169143	03448266		Anglistik und Englischunterricht	"CSALLB, CSASA"		Journal	Inactive	"1999, 1985-1997, 1977-1983 "	Not OA						C. Winter	Germany	Western Europe (incl. Israel)	Social Sciences	Psychology	Arts and Humanities	Social Sciences	Computer Science							
5900152767	1041617X		Animation Magazine	CSADAA		Journal	Active	2006-ongoing 	Not OA						Terry Thoren Publications	United States	North America	Social Sciences	Arts and Humanities										
11600153711	13032518 		Ankara Review of European Studies/Ankara Avrupa CalIsmalarI Dergisi	CSAWPS		Journal	Inactive	2005	Not OA									Social Sciences	Social Sciences										
